algo,mode_or_scheme,bits,operation,trials,avg_seconds
AES,ECB,128,encrypt,5,0.030604383199897712
AES,ECB,128,decrypt,5,0.006632508399707149
AES,ECB,256,encrypt,5,0.0052270500003942285
AES,ECB,256,decrypt,5,0.0046895747993403345
AES,CFB,128,encrypt,5,0.07861568320004153
AES,CFB,128,decrypt,5,0.04942771680071019
AES,CFB,256,encrypt,5,0.06652770820001024
AES,CFB,256,decrypt,5,0.07170319979995839
RSA,OAEP-SHA256,1024,keygen,5,0.24977087499974004
RSA,OAEP-SHA256,1024,encrypt,5,0.000793500199506525
RSA,OAEP-SHA256,1024,decrypt,5,0.01164125840041379
RSA,OAEP-SHA256,2048,keygen,5,0.8604356085998006
RSA,OAEP-SHA256,2048,encrypt,5,0.0009868501994787949
RSA,OAEP-SHA256,2048,decrypt,5,0.045647208200171006
RSA,OAEP-SHA256,3072,keygen,5,1.6207810335999966
RSA,OAEP-SHA256,3072,encrypt,5,0.001297983200129238
RSA,OAEP-SHA256,3072,decrypt,5,0.09859765019937186
RSA,OAEP-SHA256,4096,keygen,5,8.934662633199697
RSA,OAEP-SHA256,4096,encrypt,5,0.0020732334000058473
RSA,OAEP-SHA256,4096,decrypt,5,0.20233989979969919
